cell_type,gene,avg_expr,pct_expr,gene_label
B,CD14,0.03842303,0.024985038898862957,CD14 (cMono)
B,CD19,0.81771505,0.4790544584081388,CD19 (B)
B,CD3D,0.048694946,0.03213644524236984,CD3D (CD8)
B,CD4,0.007280645,0.004937163375224416,CD4 (CD4)
B,CD6,0.009454262,0.006313584679832436,CD6 (NK)
B,CD79A,2.9647472,0.9701376421304608,CD79A (B)
B,CD8A,0.024694225,0.01684619988031119,CD8A (CD8)
B,CD8B,0.02202867,0.014332734889287851,CD8B (CD8)
B,FCGR3A,0.021165414,0.014183123877917415,FCGR3A (ncMono)
B,IL7R,0.121389054,0.07603231597845601,IL7R (CD4)
B,LST1,0.16648756,0.10909634949132256,LST1 (ncMono)
B,MS4A1,2.6047142,0.9363255535607421,MS4A1 (B)
B,MS4A7,0.09087536,0.06361460203470976,MS4A7 (ncMono)
B,NCAM1,0.0011368445,0.000807899461400359,NCAM1 (NK)
B,NKG7,0.21492569,0.13827049670855776,NKG7 (NK)
B,S100A8,1.2311984,0.6116098144823459,S100A8 (cMono)
CD4,CD14,0.039763525,0.029108984527614467,CD14 (cMono)
CD4,CD19,0.0031042357,0.002301793892950109,CD19 (B)
CD4,CD3D,1.8080131,0.8696262056175068,CD3D (CD8)
CD4,CD4,0.47072217,0.331265327640826,CD4 (CD4)
CD4,CD6,0.22907268,0.16559265308812246,CD6 (NK)
CD4,CD79A,0.036472976,0.027386169466633404,CD79A (B)
CD4,CD8A,0.0315227,0.022584881591768146,CD8A (CD8)
CD4,CD8B,0.029926077,0.021346902463248964,CD8B (CD8)
CD4,FCGR3A,0.030968111,0.020895016545614587,FCGR3A (ncMono)
CD4,IL7R,2.4651854,0.9070433010266283,IL7R (CD4)
CD4,LST1,0.13913137,0.10329829648423342,LST1 (ncMono)
CD4,MS4A1,0.020591253,0.014436813639423281,MS4A1 (B)
CD4,MS4A7,0.011099584,0.008077460777714493,MS4A7 (ncMono)
CD4,NCAM1,0.0034320173,0.0025889297364469527,NCAM1 (NK)
CD4,NKG7,0.37765315,0.19833555353671337,NKG7 (NK)
CD4,S100A8,1.1822621,0.6311904840357179,S100A8 (cMono)
CD8,CD14,0.039730854,0.028442637007276023,CD14 (cMono)
CD8,CD19,0.002888156,0.002131360395894069,CD19 (B)
CD8,CD3D,2.0157478,0.8923173032166393,CD3D (CD8)
CD8,CD4,0.00841907,0.006345084396971999,CD4 (CD4)
CD8,CD6,0.18473868,0.13465543006933045,CD6 (NK)
CD8,CD79A,0.06039513,0.044721820720742794,CD79A (B)
CD8,CD8A,2.1104977,0.8919865748793454,CD8A (CD8)
CD8,CD8B,2.034192,0.8602244053014527,CD8B (CD8)
CD8,FCGR3A,0.4483089,0.24590264337685883,FCGR3A (ncMono)
CD8,IL7R,1.6751683,0.6562017687841446,IL7R (CD4)
CD8,LST1,0.111108705,0.08215536882334207,LST1 (ncMono)
CD8,MS4A1,0.055542212,0.03603713956735834,MS4A1 (B)
CD8,MS4A7,0.01198495,0.008476444792866068,MS4A7 (ncMono)
CD8,NCAM1,0.023923092,0.015776966608687132,NCAM1 (NK)
CD8,NKG7,2.5304716,0.7283372939072491,NKG7 (NK)
CD8,S100A8,1.1888207,0.6198339008794924,S100A8 (cMono)
NK,CD14,0.04143243,0.026855449963448887,CD14 (cMono)
NK,CD19,0.003297589,0.00236620368589127,CD19 (B)
NK,CD3D,0.16625129,0.08429841098841907,CD3D (CD8)
NK,CD4,0.009199179,0.0060020776422607825,CD4 (CD4)
NK,CD6,0.058316354,0.037782309260898005,CD6 (NK)
NK,CD79A,0.039479125,0.026970874533492364,CD79A (B)
NK,CD8A,0.4113523,0.22804047554922857,CD8A (CD8)
NK,CD8B,0.059908222,0.036743488130506714,CD8B (CD8)
NK,FCGR3A,2.0329993,0.8295179100457851,FCGR3A (ncMono)
NK,IL7R,0.19771387,0.10871070755261436,IL7R (CD4)
NK,LST1,0.08187918,0.05442268477549921,LST1 (ncMono)
NK,MS4A1,0.01969574,0.012754414989804163,MS4A1 (B)
NK,MS4A7,0.0120702805,0.007925820476318726,MS4A7 (ncMono)
NK,NCAM1,0.32752925,0.2057635335308376,NCAM1 (NK)
NK,NKG7,4.419549,0.9917856180985726,NKG7 (NK)
NK,S100A8,1.2861726,0.6241968373667808,S100A8 (cMono)
cMono,CD14,1.9952352,0.8284766686069073,CD14 (cMono)
cMono,CD19,0.0028550606,0.0022676561893674816,CD19 (B)
cMono,CD3D,0.04075013,0.028994470314318975,CD3D (CD8)
cMono,CD4,0.30556062,0.21976256305781916,CD4 (CD4)
cMono,CD6,0.003469436,0.002637514551804424,CD6 (NK)
cMono,CD79A,0.01921434,0.014375970120294916,CD79A (B)
cMono,CD8A,0.016541688,0.012599437330228948,CD8A (CD8)
cMono,CD8B,0.018136678,0.01318757275902212,CD8B (CD8)
cMono,FCGR3A,0.11534758,0.08246628831975165,FCGR3A (ncMono)
cMono,IL7R,0.07998019,0.0564913174233605,IL7R (CD4)
cMono,LST1,2.1853478,0.8999805975941017,LST1 (ncMono)
cMono,MS4A1,0.013524366,0.009743645712068297,MS4A1 (B)
cMono,MS4A7,0.46832442,0.30478148040357006,MS4A7 (ncMono)
cMono,NCAM1,0.004941233,0.004074505238649592,NCAM1 (NK)
cMono,NKG7,0.72113806,0.4155752813348855,NKG7 (NK)
cMono,S100A8,6.115339,0.9992117772603802,S100A8 (cMono)
ncMono,CD14,0.82522076,0.47322127389959373,CD14 (cMono)
ncMono,CD19,0.0065511386,0.006969550147217771,CD19 (B)
ncMono,CD3D,0.034388695,0.0310834482501584,CD3D (CD8)
ncMono,CD4,0.51324284,0.4202228765234244,CD4 (CD4)
ncMono,CD6,0.0030365062,0.0029070850881443107,CD6 (NK)
ncMono,CD79A,0.028140513,0.026163765793298797,CD79A (B)
ncMono,CD8A,0.01642525,0.015690805411650702,CD8A (CD8)
ncMono,CD8B,0.016768165,0.014833588013864559,CD8B (CD8)
ncMono,FCGR3A,2.2259517,0.855689314598785,FCGR3A (ncMono)
ncMono,IL7R,0.075602494,0.06574484737803288,IL7R (CD4)
ncMono,LST1,3.4403503,0.9912042040922813,LST1 (ncMono)
ncMono,MS4A1,0.014809103,0.01270917968022064,MS4A1 (B)
ncMono,MS4A7,1.885728,0.8378741008534903,MS4A7 (ncMono)
ncMono,NCAM1,0.0015820425,0.001528083187357907,NCAM1 (NK)
ncMono,NKG7,0.5206861,0.3623793373336812,NKG7 (NK)
ncMono,S100A8,3.075963,0.9283664418023928,S100A8 (cMono)
